Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:56:15.978] ,51.9,20.5,68.9,0
[2022-11-18 08:56:16.982] ,51.9,20.5,68.9,0
[2022-11-18 08:56:17.990] ,51.9,20.5,68.9,0
[2022-11-18 08:56:18.993] ,51.9,20.5,68.9,0
[2022-11-18 08:56:19.998] ,52,20.5,68.9,0
[2022-11-18 08:56:21.000] ,52,20.5,68.9,0
[2022-11-18 08:56:22.011] ,52,20.5,68.9,0
[2022-11-18 08:56:23.011] ,52,20.5,68.9,0
[2022-11-18 08:56:24.018] ,52,20.5,68.9,0
[2022-11-18 08:56:25.019] ,52,20.5,68.9,0
[2022-11-18 08:56:26.030] ,52,20.5,68.9,0
[2022-11-18 08:56:27.033] ,52,20.5,68.9,0
[2022-11-18 08:56:28.039] ,52,20.5,68.9,0
[2022-11-18 08:56:29.044] ,52,20.5,68.9,0
[2022-11-18 08:56:30.052] ,52.1,20.5,68.9,0
[2022-11-18 08:56:31.054] ,52.1,20.5,68.9,0
[2022-11-18 08:56:32.063] ,52,20.5,68.9,0
[2022-11-18 08:56:33.062] ,52,20.5,68.9,0
[2022-11-18 08:56:34.073] ,52.1,20.5,68.9,0
[2022-11-18 08:56:35.071] ,52.1,20.5,68.9,0
[2022-11-18 08:56:36.080] ,52.1,20.5,68.9,0
[2022-11-18 08:56:37.084] ,52.1,20.5,68.9,0
[2022-11-18 08:56:38.089] ,52.1,20.5,68.9,0
[2022-11-18 08:56:39.095] ,52.1,20.5,68.9,0
[2022-11-18 08:56:40.102] ,52.1,20.5,68.9,0
[2022-11-18 08:56:41.103] ,52.1,20.5,68.9,0
[2022-11-18 08:56:42.113] ,52.1,20.5,68.9,0
[2022-11-18 08:56:43.116] ,52.1,20.5,68.9,0
[2022-11-18 08:56:44.125] ,52.1,20.5,68.9,0
[2022-11-18 08:56:45.124] ,52.1,20.5,68.9,0
[2022-11-18 08:56:46.136] ,52.1,20.5,68.9,0
[2022-11-18 08:56:47.135] ,52.1,20.5,68.9,0
[2022-11-18 08:56:48.142] ,52.1,20.5,68.9,0
[2022-11-18 08:56:49.143] ,52.1,20.5,68.9,0
[2022-11-18 08:56:50.152] ,52.1,20.5,68.9,0
[2022-11-18 08:56:51.157] ,52.1,20.5,68.9,0
[2022-11-18 08:56:52.164] ,52.1,20.5,68.9,0
